Taxa;Feeding on resource;Feeding on invertebrates;Feeding on fish;Trophic_group
Agapetus;2;0;0;Primary_consumer
Ancylus_fluviatilis;2;0;0;Primary_consumer
Asellus;3;0;0;Primary_consumer
Baetis;3;0;0;Primary_consumer
Blepharicera;1;0;0;Primary_consumer
Bythinella;2;0;0;Primary_consumer
Caenis;3;0;0;Primary_consumer
Chimarra;2;0;0;Primary_consumer
Cyphon;3;0;0;Primary_consumer
Dashyheleinae;2;0;0;Primary_consumer
Dupophilos;3;0;0;Primary_consumer
Elmis;3;0;0;Primary_consumer
Esolus;3;0;0;Primary_consumer
Eubria;1;0;0;Primary_consumer
Gyraulus;2;0;0;Primary_consumer
Habroleptoides;3;0;0;Primary_consumer
Habrophlebia;3;0;0;Primary_consumer
Heptagenidae;3;0;0;Primary_consumer
Hydraena;2;0;0;Primary_consumer
Hydrocyphon;3;0;0;Primary_consumer
Hydroptilidae;2;0;0;Primary_consumer
Lepidostoma_hirtum;2;0;0;Primary_consumer
Leptophlebiidae;3;0;0;Primary_consumer
Leuctra;3;0;0;Primary_consumer
Limnius;3;0;0;Primary_consumer
Liponeura;1;0;0;Primary_consumer
Macroplea;1;0;0;Primary_consumer
Metalype_fragilis;2;0;0;Primary_consumer
Normandia;3;0;0;Primary_consumer
Oligochaeta;2;0;0;Primary_consumer
Oulimnius;3;0;0;Primary_consumer
Pisidium;2;0;0;Primary_consumer
Potamopyrgus_antipodarum;2;0;0;Primary_consumer
Procloeon;2;0;0;Primary_consumer
Prosimullini;2;0;0;Primary_consumer
Psychodidae;3;0;0;Primary_consumer
Silo_Lithax;3;0;0;Primary_consumer
Simullini;2;0;0;Primary_consumer
Sphaerium;2;0;0;Primary_consumer
Stenelmis;3;0;0;Primary_consumer
Tanytarsini;3;0;0;Primary_consumer
Allogamus;2;7;0;Omnivore
Anthomyiidae;2;23;0;Omnivore
Apatania;3;3;0;Omnivore
Cecidomyiidae;3;23;0;Omnivore
Ceraclea_Homilia;3;7;0;Omnivore
Ceratopogoninae;2;2;0;Omnivore
Chironomini;2;17;0;Omnivore
Corixinae;2;11;0;Omnivore
Echinogammarus;3;16;0;Omnivore
Ephemera;3;5;0;Omnivore
Ephemerella;3;5;0;Omnivore
Hemerodromiinae;1;7;0;Omnivore
Hexatomiini;3;14;0;Omnivore
Hydropsyche;3;19;0;Omnivore
Hyporhyacophila;2;22;0;Omnivore
Isogenus_nubecula;3;25;0;Omnivore
Limoniini;1;14;0;Omnivore
Lymnaea;3;1;0;Omnivore
Marthamea;1;23;0;Omnivore
Micrasema;3;39;0;Omnivore
Mystacides;2;39;0;Omnivore
Neureclepsis;2;31;0;Omnivore
Oecetis;3;6;0;Omnivore
Orthocladiinae;2;17;0;Omnivore
Pacifastacus_lenisculus;1;60;0;Omnivore
Parachondrostoma_miegii;1;35;0;Omnivore
Pararhyacophila;1;22;0;Omnivore
Pediciini;1;14;0;Omnivore
Philopotamus;2;39;0;Omnivore
Phoxinus_bigerri;2;35;0;Omnivore
Physa;3;1;0;Omnivore
Polycentropus;3;29;0;Omnivore
Prodiamesinae;2;17;0;Omnivore
Psychomya_pusilla;2;39;0;Omnivore
Radix;3;1;0;Omnivore
Rhyacophila;3;22;0;Omnivore
Sericostoma;2;5;0;Omnivore
Siphonoperla;3;21;0;Omnivore
Tabanidae;2;23;0;Omnivore
Tanypodinae;2;17;0;Omnivore
Tipulidae;3;10;0;Omnivore
Acari;0;15;0;Carnivore
Anguilla_anguilla;0;33;2;Carnivore
Atherix;0;3;0;Carnivore
Atrichops_crassipes;0;3;0;Carnivore
Barbatula_quignardi;0;17;0;Carnivore
Boyeria_irene;0;18;0;Carnivore
Calopteryx;0;11;0;Carnivore
Chalcolestes_viridis;0;7;0;Carnivore
Clinocerinae;0;7;0;Carnivore
Copelatus;0;20;0;Carnivore
Gobio_lozanoi;0;35;0;Carnivore
Holocentropus;0;7;0;Carnivore
Hydrometra;0;11;0;Carnivore
Luciobarbus_graellsii;0;35;0;Carnivore
Mesovelia;0;11;0;Carnivore
Ophiogomphus;0;26;0;Carnivore
Orectochilus;0;6;0;Carnivore
Perla;0;17;0;Carnivore
Plectrocnemia;0;21;0;Carnivore
Rhagionidae;0;23;0;Carnivore
Salmo_salar;0;54;2;Carnivore
Salmo_trutta;0;54;2;Carnivore
Biofilm;0;0;0;Resource
FPOM;0;0;0;Resource
CPOM;0;0;0;Resource
Boreobdella;NA;NA;NA;Carnivore
Dugesia;NA;NA;NA;Carnivore
Glossiphonia;NA;NA;NA;Carnivore
Haementeria;NA;NA;NA;Carnivore
Haemopis;NA;NA;NA;Carnivore
Polycelis;NA;NA;NA;Carnivore
